Type	Size	Time
P	8998	66076360
C	7145	254
C	2096	396
C	9568	66044748
C	2528	229
C	4304	172
C	8328	179
P	3115	133
P	7601	120
P	6249	48
C	5971	230
P	6283	194
P	3108	75
P	970	61
C	3874	68
C	7155	63
P	4782	199
P	8434	105
P	2687	53
C	1183	132
C	6287	123
C	1547	57
C	1490	73
C	5634	64
P	5988	136
P	4396	59
P	4830	61
C	8973	245
C	87	79
C	4832	73
P	8516	157
P	2268	79
C	5942	134
C	9336	68
P	8400	81
P	4936	57
C	9348	146
P	1775	165
P	638	79
P	7547	51
P	744	50
P	4881	51
C	603	228
C	633	66
C	5875	48
C	5599	49
C	136	53
P	7935	319
C	6612	225
C	4387	86
C	2908	69
P	8996	168
P	6434	153
C	704	131
C	4516	140
C	7633	67
P	175	95
P	9840	59
P	6060	47
C	1448	205
C	7701	91
C	784	61
C	2897	75
C	2853	140
P	1496	257
P	6659	147
P	769	54
C	6641	191
C	3874	49
P	235	249
C	2073	163
P	5300	83
P	6213	141
P	2808	156
P	1321	134
C	132	171
C	4773	72
C	5139	76
C	7361	66339892
C	8391	203
C	6034	156
P	9893	63447601
P	1969	119
P	3370	77
P	4581	51
P	1004	217
P	5633	64
C	2795	145
P	6382	122
C	1649	195
C	5956	94
P	4510	147
P	7710	97
C	4697	285
P	7954	244
C	2693	153
C	3810	130
C	5148	88
C	3282	189
C	1689	84
P	1486	194
P	2799	83
P	4030	61
P	5553	73
C	8741	268
C	6283	79
C	334	63
P	129	177
P	3494	75
P	3498	53
P	7472	55
C	1274	82
C	1850	49
C	8779	51
P	6894	73
P	3957	53
P	374	51
C	9836	234
C	2132	84
C	9929	62980039
P	6471	124
P	5259	64094169
C	8139	140
C	3562	60821555
P	7320	260
C	4030	269
P	8183	60651955
P	1890	171
C	2431	116
C	293	131
C	1513	81
C	8795	59643318
C	8706	225
P	5097	144
P	7412	61
P	9840	59664994
P	2793	163
C	4230	59330537
C	3058	198
C	8204	112053322
C	2527	91
P	9371	59123304
P	7942	111584517
C	1921	59043192
C	7351	162
P	9612	207
C	8974	58900417
C	1146	486
P	1151	127
C	3353	131
C	6731	58767772
P	7883	64
C	1454	159
C	6792	109576711
C	2246	155
C	3023	108
P	4316	157
P	6015	69
P	9234	62
C	8862	58653422
C	109	127
C	5373	83
P	8827	58667537
P	9775	198
P	5651	72
C	6281	154
C	3130	65
C	9448	48
C	165	49
P	6045	96
P	8681	49
P	3646	254
C	6879	192
C	2781	117
C	8647	62
C	2071	49
C	2704	54
P	6540	52
P	2894	130
P	9798	163
P	4507	84
P	745	72
C	5652	58548388
C	4904	124
C	955	71
C	2073	193
C	1889	92
P	6226	278
P	7777	96
C	8334	135
C	235	80
P	7899	153
C	2676	317
C	835	218
C	205	120
C	799	134
C	9794	58922918
P	1016	134
P	2658	104
P	8014	72
P	3905	47
P	617	108
C	2016	107
C	5348	77
C	3889	90
P	7619	80
C	736	124
C	2061	62
C	3192	52
C	4948	52
C	1104	48
C	7970	59018987
P	5850	478
P	1778	112
P	1682	136
C	4166	166
P	5403	67
C	2620	167
C	8855	166
P	1869	146
P	1841	114
P	4601	60
P	8052	121
C	2984	151
C	2794	50
C	6668	50
C	2420	49
P	495	167
P	5286	68
P	9384	48
P	417	60
C	746	301
C	5192	344
P	2816	133
P	2687	71
P	2725	53
P	3748	58
P	1376	62
C	6627	89
C	238	146
C	3970	55
C	2971	183
C	2108	105
P	7303	156
P	817	73
P	8444	49
C	7367	134
C	1602	82
P	37	125
P	3886	75
P	5998	65
P	4625	71
C	7497	66
C	3119	48
C	4657	48
C	3594	237
C	3644	149
C	5680	78
P	6120	169
P	7042	134
C	8054	161
C	4043	159
P	4432	139
P	5453	133
P	459	51
P	1373	555
P	6337	82
C	7483	60199262
C	153	242
C	7957	49
P	4084	230
P	8244	307
C	4127	250
C	1181	195
C	4291	64
C	9255	72
P	3463	211
P	1671	117
P	15	64
P	7158	73
C	9702	249
P	2656	191
P	801	212
P	7148	119
C	7984	206
C	5268	86
C	2081	66
P	6289	273
P	9632	150
C	713	116
C	405	125
C	2539	61
C	5955	63
P	4666	128
P	4026	56
C	1501	130
C	6645	74
C	5639	66
C	742	60
P	557	189
P	2926	71
P	714	48
P	9327	49
C	7860	148
P	3060	132
P	6572	54
C	5894	169
C	3738	91
P	2744	161
P	9084	51
C	6279	195
C	3232	95
P	2526	65474438
P	8218	66080541
C	1733	88
C	3599	75
C	5764	50
C	4074	51
P	5632	146
P	4448	78
P	4912	70
P	1530	52
P	99	56
C	1626	282
C	8307	117
C	2806	80
P	6647	130
C	7068	163
P	9055	82
P	1937	72
C	1686	138
C	9349	70
P	3177	217
C	3087	206
C	5075	75
C	5917	95
P	7350	66010445
P	449	221
P	5816	94
P	2078	46
P	1213	54
P	8267	65
C	6481	257
P	6107	126
P	181	97
P	2852	65
P	2735	58
P	4335	52
C	7762	198
C	9322	78
P	9016	197
P	260	102
P	3251	67
P	842	58
P	2192	65
C	9893	61874889
C	2984	140
C	8725	48
P	1526	58289182
P	1883	151
C	270	222
C	9856	122
C	4598	83
C	1477	72
P	9339	62005949
P	4492	165
P	1496	53
P	1827	49
P	7667	55
P	152	52
C	3448	127
C	9423	82
C	2964	52
P	8922	248
P	102	85
P	3268	58
P	718	115459460
C	5361	58442384
C	9094	58045493
P	9011	204
C	7863	146
P	8963	57556520
C	8900	57523123
P	5028	54799601
P	6144	159
P	89	72
P	895	79
C	4879	54722096
C	5133	150
C	4885	83
P	7676	115939904
P	4113	173
C	8968	180
C	438	85
C	9144	62
P	2277	172
P	6081	78
P	1763	70
P	6298	64
P	2004	76
C	3728	136
C	5829	80
P	624	181
P	3844	71
P	5228	86
C	7061	140
C	5374	157
C	63	83
C	2937	54
P	4144	113
P	4944	89
P	5364	51
C	5475	91
C	6671	71
C	632	80
C	1490	59
P	287	80
P	9234	108
P	583	67
P	749	53
C	137	180
C	9061	91
P	4271	173
P	7662	67
C	1110	68
C	4950	70
C	2299	46
C	6618	51
P	6882	54603835
P	2997	158
P	79	336
P	7441	150
P	7185	55330722
C	5441	161
C	966	98
C	5600	61
C	1901	52
P	9236	100
C	8930	314
P	8937	135
P	6203	119
P	1030	56
C	4228	96
C	8095	65
C	2618	51
P	8385	210
P	5737	110
C	4221	140
C	2720	66
C	1340	74
C	9153	89
C	2590	55354588
P	8745	184
C	8679	208
P	8058	160
C	4743	160
P	2032	122
P	8933	52
C	3649	170
C	8693	87
P	5134	171
P	1454	98
P	3568	75
P	220	68
C	6371	120
C	4184	73
C	3000	118
P	7917	148
P	5975	60
P	4800	60
C	8624	1097
C	6032	134
C	1010	80
C	1149	87
P	7090	152
P	5458	54344679
P	4415	182
P	8135	67
C	6450	132
C	714	92
C	7053	60
P	3167	156
P	3697	86
P	4571	50
P	3589	59
C	8952	255
C	9519	54274540
C	5452	165
C	2857	150
C	3560	62
C	2232	57
C	5280	148
P	1931	219
P	7502	135
P	3377	69
P	7012	56
P	9954	52282047
C	5116	445
C	1504	109
C	7298	55
P	7917	251
P	1867	80
P	3078	53
C	1010	199
C	792	85
C	4114	72
C	1324	77
C	770	79
C	2939	52293570
C	7677	222
P	5802	397
P	5058	107
C	7051	120
C	7516	79
C	3417	54
P	8345	51807141
P	2741	195
P	2613	108
P	5205	55
C	4444	120
C	1674	81
C	8277	53
C	1148	53
